internationalname,tradename,dosageform,manufacturer,amount,limitingprice,price,certificatenumber,registrationdate,barcode,atc,reasonexclude,dateexclude
Бромдигидрохлорфенилбензодиазепин,Фезипам********(*)*,"таблетки 0.5 мг, 25 шт. - упаковки ячейковые контурные (2) - пачки картонные","ОАО ""Татхимфармпрепараты"" - Россия", 50,  25.05,,ЛСР-007073/08,"19.08.2010
(8385-Пр/10)",4604060991399,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Бромдигидрохлорфенилбензодиазепин,Фезипам********(*)*,"таблетки 1 мг, 10 шт. - упаковки ячейковые контурные (5) - пачки картонные","ОАО ""Татхимфармпрепараты"" - Россия", 50,  29.40,,ЛСР-007073/08,"10.03.2010
(1808-Пр/10)",4604060011561,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Бромдигидрохлорфенилбензодиазепин,Фезипам*********,"таблетки 1 мг, 25 шт. - упаковки ячейковые контурные (2) - пачки картонные","ОАО ""Татхимфармпрепараты"" - Россия", 50,  29.40,,ЛСР-007073/08,"19.08.2010
(8385-Пр/10)",4604060991382,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Будесонид,Бенакорт**,"порошок для ингаляций дозированный 0.2 мг/доза, 100 доз, 1 г - ингаляторы дозирующие ""Циклохалер"" - пакеты полиэтиленовые - пачки картонные","ЗАО ""Пульмомед"" - Россия", 1,  175.81,,Р N002275/01-2003,"11.03.2010
(1872-Пр/10)",4603466000148,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Будесонид,Бенакорт**********(*)*,"порошок для ингаляций дозированный 0.2 мг/доза, 200 доз, 2 г - ингаляторы дозирующие ""Циклохалер"" - пакеты полиэтиленовые - пачки картонные","ЗАО ""Пульмомед"" - Россия", 1,  289.88,,Р N002275/01-2003,"11.03.2010
(1872-Пр/10)",4603466000018,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Будесонид,Бенакорт**,"раствор для ингаляций 0.25 мг/мл, 2.2 мл - флаконы (10) - пачки картонные","ЗАО ""Пульмомед"" - Россия", 10,  247.14,,Р N002275/02,"11.03.2010
(1872-Пр/10)",4603466000582,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Будесонид,Бенакорт**,"раствор для ингаляций 0.5 мг/мл, 2.2 мл - флаконы (10) - пачки картонные","ЗАО ""Пульмомед"" - Россия", 10,  289.43,,Р N002275/02,"11.03.2010
(1872-Пр/10)",4603466000605,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Бусерелин,Бусерелин-депо,"лиофилизат для приготовления суспензии для внутримышечного введения пролонгированного действия 3.75 мг, 320.93 мг - флаконы темного стекла - упаковки ячейковые контурные /в комплекте с растворителем (ампулы) 2 мл, шприцем одноразовым, иглой для инъекций, ","Вл. - ЗАО ""Фарм-Синтез"" - Россия; Пр. - ООО ""Диамед"" - Россия", 1, 4 603.39,,Р N002378/01-2003,"29.06.2010
(6119-Пр/10)",4603469000084,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Бусерелин,Бусерелин-депо,"лиофилизат для приготовления суспензии для внутримышечного введения пролонгированного действия 3.75 мг, 320.93 мг - флаконы темного стекла - упаковки ячейковые контурные /в комплекте с растворителем (ампулы) 2 мл, шприцем одноразовым, иглой для инъекций, ","ЗАО ""Фарм-Синтез"" - Россия", 1, 4 603.39,,Р N002378/01-2003,"15.03.2010
(1907-Пр/10)",4603469000084,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Бусерелин,Бусерелин-лонг ФС,"лиофилизат для приготовления суспензии для внутримышечного введения пролонгированного действия 3.75 мг - флаконы темного стекла - упаковки ячейковые контурные /в комплекте с растворителем (ампулы) 2 мл, шприцем одноразовым, иглой для инъекций, иглой для р",Ф-Синтез ЗАО - Россия, 1, 4 600.80,,ЛСР-003576/10,"20.05.2010
(4431-Пр/10)",4650001570154,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Бусульфан,Милеран**,"таблетки покрытые оболочкой 2 мг, 25 шт. - флаконы темного стекла - пачки картонные","Вл. - ЗАО ""ГлаксоСмитКляйн Трейдинг"" - Россия; Пр. - Экселла ГмбХ - Германия", 25, 1 074.05,,П N012934/01,"22.07.2010
(6997-Пр/10)",4607008130614,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Бусульфан,Милеран**,"таблетки покрытые оболочкой 2 мг, 25 шт. - флаконы темного стекла - пачки картонные",Вл. - ГлаксоСмитКляйн ГмбХ и Ко.КГ - Германия; Пр. - Экселла ГмбХ - Германия, 25, 1 074.05,,П N012934/01,"27.02.2010
(1488-Пр/10)",4607008130614,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Вакцина для профилактики вирусного гепатита В,Эувакс В*,"суспензия для внутримышечного введения, 0.5 мл - флаконы (10) - пачки картонные",Эл Джи Лайф Саенсис Лтд - Корея, 10,  810.18,,П N011073,"12.04.2010
(3079-Пр/10)",8806136300661,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Вакцина для профилактики вирусного гепатита В,Эувакс В*,"суспензия для внутримышечного введения, 1 мл - флаконы - пачки картонные",Эл Джи Лайф Саенсис Лтд - Корея, 1,  68.03,,П N011073,"28.05.2010
(4881-Пр/10)",8806136300692,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Вакцина для профилактики гриппа [инактивированная],Агриппал S1,"суспензия для внутримышечного и подкожного введения 0.5 мл/доза, 1 доза, 0.5 мл - шприцы - упаковки ячейковые контурные - пачки картонные",Вл. - Новартис Вакцинс энд Диагностикс С.р.Л. - Италия; Пр. - Новартис Вакцинс энд Диагностикс ГмбХ и Ко.КГ - Германия, 1,  200.81,,П N012054/01,"05.05.2010
(3872-Пр/10)",4605594000069,,исключения лекарственного препарата из государственного реестра лекарственных средств для медицинского применения,03.03.2016
Вакцина для профилактики гриппа [инактивированная],Ваксигрип***(*)*,"суспензия для внутримышечного и подкожного введения, 1 доза, 0.25 мл - шприцы - упаковки ячейковые контурные - пачки картонные",Санофи Пастер С.А. - Франция, 1,  176.46,,П N014493/01,"15.03.2010
(1953-Пр/10)",3660053314010,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Вакцина для профилактики гриппа [инактивированная],Ваксигрип***(*)*,"суспензия для внутримышечного и подкожного введения, 1 доза, 0.5 мл - шприцы - упаковки ячейковые контурные - пачки картонные",Санофи Пастер С.А. - Франция, 1,  159.79,,П N014493/01,"15.03.2010
(1953-Пр/10)",3660053314041,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Вакцина для профилактики гриппа [инактивированная],Ваксигрип***(*)*,"суспензия для внутримышечного и подкожного введения, 5 мл - флаконы - пачки картонные",Санофи Пастер С.А. - Франция, 1,  988.67,,П N014493/01,"15.03.2010
(1953-Пр/10)",3660053329205,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Вакцина для профилактики гриппа [инактивированная],Грипповак*,"суспензия для подкожного и назального введения 0.5 мл/доза, 1 доза - ампулы (10) /в комплекте с ножом ампульным или скарификатором/ - пачки картонные","ФГУП ""Санкт-Петербургский НИИ вакцин и сывороток и предприятие по производству бактерийных препаратов"" ФМБА - Россия", 10,  853.20,,ЛСР-002842/07,"20.05.2010
(4431-Пр/10)",4602431001111,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Вакцина для профилактики гриппа [инактивированная],Флюарикс,"суспензия для внутримышечного и подкожного введения, 1 шт., 0.5 мл - шприцы одноразовые с иглой - упаковки ячейковые контурные - пачки картонные","Вл. - ЗАО ""ГлаксоСмитКляйн Трейдинг"" - Россия; Пр. - ГлаксоСмитКляйн Байолоджикалз, отделение СмитКляйн Бичем  Фарма ГмбХ и Ко. КГ - Германия; Уп. - ООО ""СмитКляйн Бичем-Биомед"" - Россия", 1,  198.82,,П N015679/01,"10.03.2010
(1808-Пр/10)",4607008131277,,исключения лекарственного препарата из государственного реестра лекарственных средств для медицинского применения,08.12.2015
Винпоцетин,Винпоцетин*,"таблетки 5 мг, 10 шт. - упаковки ячейковые контурные (5) - пачки картонные","ЗАО ""Северная звезда"" - Россия", 50,  38.56,,Р N003606/01,"19.02.2010
(1230-Пр/10)",4607005890467,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Верапамил,Верапамил,"раствор для внутривенного введения 2.5 мг/мл, 2 мл - ампулы (10) /в комплекте с ножом ампульным или скарификатором, если необходим для ампул данного типа/ - пачки картонные","ОАО ""Биосинтез"" - Россия", 10,  21.38,,ЛС-001594,"19.02.2010
(1230-Пр/10)",4602884002963,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,20.07.2016
Верапамил,Изоптин,"раствор для внутривенного введения 2.5 мг/мл, 2 мл - ампулы (5) - поддоны картонные - пачки картонные",Вл. - Эбботт ГмбХ и Ко.КГ - Германия; Пр. - Эбеве Фарма Гес.м.б.Х. Нфг. КГ - Австрия, 5,  93.68,,П N015547/01,"17.03.2010
(2173-Пр/10)",4032046650075,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,18.01.2016
Верапамил,Изоптин,"таблетки покрытые оболочкой 40 мг, 20 шт. - упаковки ячейковые контурные (5) - пачки картонные",Эбботт ГмбХ и Ко.КГ - Германия, 100,  170.45,,П N015403/01,"17.03.2010
(2173-Пр/10)",4032046650044,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,18.01.2016
Верапамил,Изоптин,"таблетки покрытые оболочкой 80 мг, 20 шт. - упаковки ячейковые контурные (5) - пачки картонные",Эбботт ГмбХ и Ко.КГ - Германия, 100,  259.26,,П N015403/01,"17.03.2010
(2173-Пр/10)",4032046650051,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,18.01.2016
Винкристин,Винкристин-Рихтер,лиофилизат для приготовления раствора для внутривенного введения 1 мг - флаконы темного стекла - поддоны пластиковые (10) /в комплекте с растворителем: натрия хлорида раствор 0.9% с бензиловым спиртом 0.9% (ампулы) 10 мл/ - пачки картонные,"ОАО ""Гедеон Рихтер"" - Венгрия", 10, 1 556.49,,П N014883/01,"22.03.2010
(2288-Пр/10)",5997001358955,,исключения лекарственного препарата из государственного реестра лекарственных средств для медицинского применения,12.07.2016
Винпоцетин,Винпоцетин*,"таблетки 5 мг, 10 шт. - упаковки ячейковые контурные (5) - пачки картонные","ЗАО ""Канонфарма продакшн"" - Россия", 50,  41.81,,Р N002464/01,"11.03.2010
(1872-Пр/10)",4606486000044,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Винпоцетин,Винпоцетин*,"таблетки 5 мг, 10 шт. - упаковки ячейковые контурные (2) - пачки картонные","ЗАО ""Северная звезда"" - Россия", 20,  24.84,,Р N003606/01,"11.03.2010
(1872-Пр/10)",4607005890887,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Вода,Вода для инъекций*********(*)*,"растворитель для приготовления лекарственных форм для инъекций, 5 мл - ампулы (100) - коробки картонные /в комплекте с ножом ампульным или скарификатором/ - ящики картонные","ОАО ""Фармстандарт-Уфимский витаминный завод"" (ОАО ""Фармстандарт-УфаВИТА"") - Россия", 100,  6.18,,Р N001670/01,"10.03.2010
(1808-Пр/10)",4601808008579,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Галоперидол,Галоперидол*,"таблетки 1.5 мг, 10 шт. - упаковки ячейковые контурные (5) - пачки картонные","ЗАО ""Канонфарма продакшн"" - Россия", 50,  12.33,,Р N002681/01,"11.03.2010
(1872-Пр/10)",4606486004608,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Галоперидол,Галоперидол*,"таблетки 5 мг, 10 шт. - упаковки ячейковые контурные (5) - пачки картонные","ЗАО ""Канонфарма продакшн"" - Россия", 50,  13.71,,Р N002681/01,"11.03.2010
(1872-Пр/10)",4606486004721,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Гонадотропин хорионический,Гонадотропин хорионический**,лиофилизат для приготовления раствора для внутримышечного введения 5 тыс.ЕД - флаконы 5 мл (5) - упаковки ячейковые контурные /в комплекте с растворителем: натрия хлорида раствор 0.9% (ампулы) 1 мл-5 шт./ - пачки картонные,"ФГУП ""Московский эндокринный завод"" - Россия", 5, 1 512.00,,ЛС-002615,"11.03.2010
(1872-Пр/10)",4602676004526,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Дексаметазон,Дексаметазон*,"таблетки 0.5 мг, 50 шт. - пеналы полипропиленовые - пачки картонные","ООО ""Опытный завод ""ГНЦЛС"" - Украина", 50,  16.20,,П N016061/01,"04.03.2010
(1729-Пр/10)",4820090051470,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Декстроза,Глюкоза,"раствор для внутривенного введения 400 мг/мл, 10 мл - ампулы (10) /в комплекте с ножом ампульным или скарификатором, если необходим для ампул данного типа/ - коробки картонные","ОАО ""Биосинтез"" - Россия", 10,  25.68,,Р N001631/01,"19.02.2010
(1230-Пр/10)",4602884003144,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,20.07.2016
Декстроза,Глюкоза**,"раствор для внутривенного введения 400 мг/мл, 5 мл - ампулы (10) /в комплекте с ножом ампульным или скарификатором/ - коробки картонные","ОАО ""Дальхимфарм"" - Россия", 10,  7.60,,Р N001862/02,"17.03.2010
(2173-Пр/10)",4602824013493,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Декстроза+Калия хлорид+Натрия хлорид+Натрия цитрат,Регидрон,"порошок для приготовления раствора для приема внутрь, 18.9 г - пакетики из алюминиевой фольги ламинированные (20) - пачки картонные",Орион Корпорейшн - Финляндия, 20,  307.97,,П N014770/01,"27.04.2010
(3516-Пр/10)",6432100002525,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,25.04.2016
Диазепам,Седуксен*,"раствор для внутривенного и внутримышечного введения 5 мг/мл, 2 мл - ампулы темного стекла (5) - поддоны пластиковые - пачки картонные","Вл., Пр. - ОАО ""Гедеон Рихтер"" - Венгрия; Уп. - ЗАО ""Гедеон Рихтер-РУС"" - Россия", 5,  48.41,,П N012431/01*,"03.03.2010
(1620-Пр/10)",4605469000835,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Динопростон,Простенонгель*,"гель интрацервикальный 1 мг/доза, 1 доза, 3.5 г - шприцы /в комплекте с катетером стерильным/ - пачки картонные","АО ""Кевельт"" - Республика Эстония", 1,  307.82,,П N015788/01,"31.03.2010
(2715-Пр/10)",4740505000018,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Дифенгидрамин,Димедрол,"раствор для внутривенного и внутримышечного введения 10 мг/мл, 1 мл - ампулы (10) /в комплекте с ножом ампульным или скарификатором, если необходим для ампул данного типа/ - пачки картонные","ОАО ""Биосинтез"" - Россия", 10,  11.83,,ЛС-001412,"19.02.2010
(1230-Пр/10)",4602884002406,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,20.07.2016
Доксорубицин,Келикс**,"концентрат для приготовления раствора для внутривенного введения 2 мг/мл, 1 шт., 10 мл - флаконы - пачки картонные","Вл., Уп. - Шеринг-Плау Лабо Н.В. - Бельгия; Пр. - Бен Венью Лабораторис Инк - США", 1, 33 981.60,,П N015921/01,"11.03.2010
(1872-Пр/10)",4602210001288,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Доксорубицин,Келикс**,"концентрат для приготовления раствора для внутривенного введения 2 мг/мл, 1 шт., 25 мл - флаконы - пачки картонные","Вл., Уп. - Шеринг-Плау Лабо Н.В. - Бельгия; Пр. - Бен Венью Лабораторис Инк - США", 1, 91 521.59,,П N015921/01,"11.03.2010
(1872-Пр/10)",4602210001295,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Зидовудин,Ретровир,"капсулы 100 мг, 10 шт. - упаковки ячейковые контурные (10) - пачки картонные","Вл. - ЗАО ""ГлаксоСмитКляйн Трейдинг"" - Россия; Пр. - СмитКляйн Бичем ПиЭлСи - Великобритания", 100, 5 515.00,,П N014791/01,"27.02.2010
(1488-Пр/10)",4607008130034,,исключения лекарственного препарата из государственного реестра лекарственных средств для медицинского применения,18.05.2016
